UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF
8583,M23442,M,297.5,308.1,1334,72.0,151,1,0,0,1,0,0
8592,L55771,L,297.4,307.9,1606,33.4,176,0,0,0,0,0,0
8593,M23452,M,297.5,308,1430,44.5,178,0,0,0,0,0,0
8601,L55780,L,297.5,308.3,1435,40.3,197,0,0,0,0,0,0
8609,L55788,L,297.4,308.4,1369,50.6,220,1,0,0,0,1,0
8610,L55789,L,297.4,308.3,1475,40.5,222,1,1,0,0,0,0
8623,L55802,L,297.5,308.3,1437,42.3,29,0,0,0,0,0,0
8632,H38045,H,297.3,308.3,1506,37.0,54,0,0,0,0,0,0
8635,L55814,L,297.3,308.3,1411,43.2,63,0,0,0,0,0,0
8661,L55840,L,297.4,308.5,1295,52.1,130,0,0,0,0,0,0
8663,L55842,L,297.5,308.6,1514,36.9,134,0,0,0,0,0,0
8690,L55869,L,297.1,308.4,1543,39.6,205,0,0,0,0,0,0
8691,L55870,L,297.1,308.5,1323,44.4,207,1,1,0,0,0,0
8695,L55874,L,297.2,308.5,1766,25.8,7,0,0,0,0,0,0
8739,L55918,L,297.3,308.7,1531,36.7,116,0,0,0,0,0,0
8761,M23620,M,297.4,308.7,1392,46.4,174,0,0,0,0,0,0
8795,M23654,M,297.4,308.5,1497,36.4,56,0,0,0,0,0,0
8802,L55981,L,297.4,308.6,1488,36.4,71,0,0,0,0,0,0
8834,L56013,L,297.4,308.8,1529,41.3,165,0,0,0,0,0,0
8847,M23706,M,297.4,308.8,1325,62.4,204,1,1,0,0,1,0
8882,H38295,H,298.0,309.2,1520,37.9,89,0,0,0,0,0,0
8927,M23786,M,297.3,308.3,1459,59.6,207,1,0,0,1,1,0
8963,L56142,L,297.3,307.9,1628,30.2,80,0,0,0,0,0,0
8984,M23843,M,297.0,307.7,1261,51.1,130,0,0,0,0,0,0
8987,M23846,M,297.1,307.8,1443,43.9,137,0,0,0,0,0,0
9007,L56186,L,297.3,307.9,1417,41.8,186,0,0,0,0,0,0
9015,M23874,M,297.2,308.1,1340,61.3,207,1,0,0,0,1,0
9016,L56195,L,297.2,308.1,1431,49.7,210,1,0,0,0,0,0
9017,L56196,L,297.3,308.2,1396,52.7,212,1,0,0,0,1,0
9019,L56198,L,297.3,308.1,1615,35.4,217,1,1,0,0,0,0
9023,L56202,L,297.4,308.3,1548,46.6,7,0,0,0,0,0,0
9049,M23908,M,297.3,308.4,1370,50.5,71,0,0,0,0,0,0
9073,H38486,H,297.2,308.1,1770,27.2,140,0,0,0,0,0,0
9085,L56264,L,297.2,307.9,1326,75.4,172,1,0,0,1,1,0
9108,M23967,M,297.5,308.5,1662,30.3,26,0,0,0,0,0,0
9109,M23968,M,297.5,308.6,1440,38.8,29,0,0,0,0,0,0
9120,M23979,M,297.4,308.4,1675,29.5,59,0,0,0,0,0,0
9131,L56310,L,297.6,308.6,1576,32.7,83,0,0,0,0,0,0
9144,L56323,L,297.6,308.5,1452,42.6,116,0,0,0,0,0,0
9153,L56332,L,297.5,308.6,1260,53.6,137,0,0,0,0,0,0
9157,M24016,M,297.5,308.4,1369,54.8,145,0,0,0,0,0,0
9158,L56337,L,297.5,308.5,1462,52.3,148,0,0,0,0,0,0
9160,M24019,M,297.5,308.6,1510,35.5,155,0,0,0,0,0,0
9175,L56354,L,297.8,308.9,1871,25.6,200,1,1,0,0,0,0
9176,L56355,L,297.8,309,1403,64.2,0,1,0,0,1,0,0
9181,L56360,L,297.9,309.1,1507,36.9,13,0,0,0,0,0,0
9208,L56387,L,297.9,308.8,1386,48.6,75,0,0,0,0,0,0
9225,L56404,L,297.9,309,1450,46.8,118,0,0,0,0,0,0
9253,M24112,M,298.1,309,1533,36.1,189,0,0,0,0,0,0
9260,M24119,M,298.2,309,1694,28.0,5,0,0,0,0,0,0
9263,M24122,M,298.3,309.1,1404,47.0,15,0,0,0,0,0,0
9302,M24161,M,298.1,308.9,1459,50.3,115,0,0,0,0,0,0
9332,L56511,L,298.4,308.9,1496,37.9,194,0,0,0,0,0,0
9341,H38754,H,298.4,308.9,1577,37.1,0,0,0,0,0,0,0
9363,M24222,M,298.0,308.5,1682,33.0,58,0,0,0,0,0,0
9369,L56548,L,297.7,308.4,1510,38.6,72,0,0,0,0,0,0
9377,H38790,H,297.7,308.4,1738,27.7,96,0,0,0,0,0,0
9389,M24248,M,297.5,307.9,1544,37.9,136,0,0,0,0,0,0
9400,L56579,L,297.8,308.3,1477,44.8,170,0,0,0,0,0,0
9408,L56587,L,297.8,308.3,1435,50.1,189,0,0,0,0,0,0
9411,M24270,M,298.0,308.5,1666,31.0,198,0,0,0,0,0,0
9415,L56594,L,298.1,308.6,1354,53.9,207,1,0,0,0,1,0
9431,L56610,L,298.1,308.7,1671,28.8,41,0,0,0,0,0,0
9451,M24310,M,298.0,308.7,1494,42.6,96,0,0,0,0,0,0
9494,L56673,L,299.1,309.8,1398,55.4,217,1,0,0,0,1,0
9500,L56679,L,299.2,310.1,1534,37.7,10,0,0,0,0,0,0
9516,L56695,L,299.0,310.2,1682,28.8,49,0,0,0,0,0,0
9522,M24381,M,298.9,310.1,1484,40.4,61,0,0,0,0,0,0
9524,L56703,L,299.0,310.2,1494,40.6,67,0,0,0,0,0,0
9551,M24410,M,299.5,311,1451,43.3,136,0,0,0,0,0,0
9577,L56756,L,299.6,310.7,1922,23.3,205,1,1,0,0,0,0
9588,M24447,M,299.3,310.5,1462,40.5,24,0,0,0,0,0,0
9614,L56793,L,299.0,310.2,1377,62.5,92,1,0,0,1,0,0
9621,L56800,L,298.9,310,1470,45.9,109,0,0,0,0,0,0
9624,L56803,L,298.9,310.1,1356,47.8,116,0,0,0,0,0,0
9653,M24512,M,299.0,310,1488,46.3,198,0,0,0,0,0,0
9654,L56833,L,299.0,309.9,1373,55.7,201,1,0,0,0,1,0
9655,L56834,L,299.1,310,1367,56.3,203,1,0,0,0,1,0
9660,L56839,L,298.9,309.8,1287,61.9,216,1,0,0,0,1,0
9664,L56843,L,299.1,310.1,1435,48.8,229,1,0,0,0,1,0
9665,L56844,L,299.1,310.2,1317,54.8,231,1,0,0,0,1,0
9667,M24526,M,299.1,310.3,1838,24.0,235,0,0,0,0,0,0
9668,L56847,L,299.2,310.3,1352,48.9,238,1,0,0,0,1,0
9690,L56869,L,299.0,310.1,1362,59.5,46,0,0,0,0,0,0
9759,L56938,L,298.6,309.8,2271,16.2,218,1,1,0,0,0,0
9765,L56944,L,298.5,309.5,1294,66.7,12,1,0,0,1,0,0
9768,L56947,L,298.6,309.6,1563,35.0,21,0,0,0,0,0,0
9777,M24636,M,298.6,309.6,1397,54.1,47,0,0,0,0,0,0
9783,L56962,L,298.7,309.9,1404,47.1,64,0,0,0,0,0,0
9796,L56975,L,298.5,309.3,1623,33.1,109,0,0,0,0,0,0
9822,L57001,L,298.6,309.4,1667,35.6,185,0,0,0,0,0,0
9823,L57002,L,298.5,309.4,1360,60.9,187,1,0,0,0,1,0
9827,L57006,L,298.4,309.2,1345,52.7,196,0,0,0,0,0,0
9831,L57010,L,298.3,309.3,1337,56.1,206,1,0,0,0,1,0
9841,H39254,H,298.3,309.2,1486,42.4,16,0,0,0,0,0,0
9851,M24710,M,298.5,309.3,1498,34.6,46,0,0,0,0,0,0
9882,L57061,L,298.8,309.8,1493,38.5,132,0,0,0,0,0,0
9899,L57078,L,298.7,309.2,1396,44.8,178,0,0,0,0,0,0
9901,H39314,H,298.7,309.2,1449,42.3,182,0,0,0,0,0,0
9910,L57089,L,298.7,309.1,1607,32.7,2,0,0,0,0,0,0
9916,M24775,M,298.5,308.7,1662,28.3,15,0,0,0,0,0,0
9975,L57154,L,298.6,308.2,1361,68.2,172,1,0,0,1,1,0
9978,L57157,L,298.6,308.3,1422,40.4,179,0,0,0,0,0,0
9981,L57160,L,298.6,308.4,1559,36.6,188,0,0,0,0,0,0
9994,L57173,L,298.8,308.4,1401,47.3,10,0,0,0,0,0,0
